Entity,Maternal mortality ratio,GDP per capita,Population,Births attended by skilled health staff,"Mortality rate, neonatal","Fertility rate, total"
Lesotho,544,2668.291504,2170622,,4.520000076,3.171000004
Liberia,661,1564.197632,4796632,,3.179999924,4.387000084
Libya,72,13238.00098,6378267,,0.65999999,2.27699995
Lithuania,8,33761.87109,2904452,,0.229999995,1.629999995
Luxembourg,5,114985.8438,596290,,0.170000005,1.389999986
Madagascar,335,1584.424561,26169540,,2.15,4.130000114
Malawi,349,1472.146851,17881172,,2.1,4.302000046
Malaysia,29,26661.50781,31975812,99.59999847,0.44000001,2.019000053
Maldives,53,18057.91016,472449,99.5,0.519999981,1.906000018
Mali,562,2246.797363,19311356,,3.359999847,5.967999935
Malta,6,42644.08203,479507,99.69999695,0.44000001,1.25999999
Mauritania,766,5108.549316,4160018,,3.309999847,4.618999958
Mauritius,61,21415.11523,1294743,99.80000305,0.930000019,1.440000057
Mexico,33,19721.26172,122839256,,0.860000038,2.157000065
Micronesia (country),88,3490.130371,110441,,1.419999981,3.09800005
Moldova,19,11651.31738,3180515,99.69999695,1.119999981,1.258999944
Mongolia,45,11366.30371,3096033,,0.9,2.914000034
Montenegro,6,19682.26563,632445,,0.170000005,1.779999971
Morocco,70,7312.056641,35528116,,1.310000038,2.450999975
Mozambique,289,1283.659912,28569448,,3.010000038,4.921999931
Myanmar,250,4224.544922,52288344,,2.4,2.167999983
Namibia,195,10171.42188,2364540,,2.120000076,3.447000027
Nepal,186,3565.197754,28183424,58,1.920000076,1.967000008
Netherlands,5,55088.63281,17207204,,0.25999999,1.620000005
New Zealand,9,42285.32031,4746253,96.59999847,0.29000001,1.809999943
Nicaragua,98,6004.01416,6480534,96,1.080000019,2.430000067
Niger,509,1163.226196,21737924,,2.570000076,7.000999928
Nigeria,917,5190.355957,193495904,43,3.670000076,5.456999779
North Korea,89,685.481893,25516318,99.5,1.030000019,1.911000013
North Macedonia,7,15706.44434,2111982,99.90000153,0.680000019,1.429999948
Norway,2,64050.75781,5277396,99.19999695,0.15,1.620000005
Oman,19,33308.48438,4541853,98.68000031,0.5,2.920000076
Pakistan,140,4571.205078,216379648,,4.329999924,3.562000036
Panama,52,30446.84961,4096071,94.19999695,0.889999962,2.486999989
Papua New Guinea,145,4285.628906,9114803,,2.289999962,3.609999895
Paraguay,84,12590.54883,6355406,97.30000305,1.119999981,2.453000069
Peru,88,12506.5293,31605488,93.59999847,0.75,2.275000095
